retail_price,release_month,release_quarter,log_retail_price,has_collaboration,collab_count,collab_tier,brand_retail_mean,brand_retail_std,brand_retail_median,brand_resell_mean,brand_resell_std,brand_resell_median,model_retail_mean,model_retail_std,model_retail_median,model_resell_mean,model_resell_std,model_resell_median,model_count,retail_to_brand_mean,model_resell_mean_to_brand_mean,retail_to_model_mean,brand,model_processed,collab_brands,size_category,resell_price
100.0,12.0,4.0,4.61512051684126,0,0,0,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,108.94495412844037,23.832880073095055,110.0,104.16055045871559,44.49508753157074,94.5,218.0,0.6812149937256513,0.5943050941349544,0.9178947368421052,Nike,dunk low,none,GS,80.0
200.0,5.0,2.0,5.303304908059076,1,1,3,153.56112469437653,76.19400802526293,130.0,160.0647921760391,108.69672792210746,126.0,176.5,42.33637231805095,200.0,173.15,78.03256742506534,182.5,20.0,1.30241296681076,1.0817494443723128,1.13314447592068,adidas,500,yeezy,Men,190.0
110.0,3.0,1.0,4.709530201312334,0,0,0,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,100.93181818181819,16.367753168430113,100.0,97.45454545454545,28.875439625815524,91.0,88.0,0.7649221637506176,0.6253161952583919,1.0898446295879305,Jordan,1 low,none,Women,165.0
100.0,1.0,1.0,4.61512051684126,0,0,0,153.56112469437653,76.19400802526293,130.0,160.0647921760391,108.69672792210746,126.0,115.0,9.045340337332908,120.0,118.16666666666667,33.7284162184657,125.0,12.0,0.65120648340538,0.7382427144671958,0.8695652173913043,adidas,ae 1,none,GS,67.0
120.0,6.0,2.0,4.795790545596741,1,1,1,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,115.71428571428571,18.126539343499317,120.0,197.85714285714286,55.85227113086979,213.0,7.0,0.8174579924707817,1.1289063603556284,1.0370370370370372,Nike,dunk low sp,undefeated,Men,144.0
130.0,6.0,2.0,4.875197323201151,1,1,2,148.30107526881721,40.503667603792955,150.0,154.40430107526882,79.51783566192826,134.0,114.98529411764706,14.315728378838475,120.0,103.76470588235294,36.52196952686368,95.5,68.0,0.8765951276102087,0.672032483290539,1.1305793579741654,New Balance,550,aime leon dore,Men,126.0
142.0,5.0,2.0,4.962844630259907,0,0,0,155.875,44.47902127220577,155.0,196.5,155.9153616549697,129.0,136.66666666666666,21.110192891170804,130.0,126.4,44.949204891834995,117.0,33.0,0.9109863672814755,0.8594401987903793,0.9944751381215469,Birkenstock,Other,none,Men,113.0
125.0,8.0,3.0,4.836281906951478,0,0,0,120.92241379310344,24.35253789544378,120.0,123.66379310344827,45.55511596631764,112.5,124.57894736842105,17.401519057170717,125.0,131.78947368421052,56.092759433091835,120.0,19.0,1.033720681542739,1.0657078387848324,1.0033798056611745,Puma,lamelo ball mb01,none,Men,134.0
150.0,5.0,2.0,5.017279836814924,1,1,2,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,174.1818181818182,57.136360020250116,150.0,177.36363636363637,116.86254552017316,137.0,11.0,1.021822490588477,1.0119772998606378,0.8611691022964509,Nike,air force 1 mid,stussy,Men,120.0
220.0,10.0,4.0,5.3981627015177525,1,1,3,153.56112469437653,76.19400802526293,130.0,160.0647921760391,108.69672792210746,126.0,215.55555555555554,8.819171036881968,220.0,160.88888888888889,32.68961778777952,148.0,9.0,1.432654263491836,1.005148519556652,1.020618556701031,adidas,500 high,yeezy,Men,141.0
250.0,8.0,3.0,5.5254529391317835,1,1,3,153.56112469437653,76.19400802526293,130.0,160.0647921760391,108.69672792210746,126.0,250.9090909090909,3.0151134457776356,250.0,104.54545454545455,14.610705912882077,103.0,11.0,1.62801620851345,0.6531445992849918,0.9963768115942029,adidas,qntm,yeezy,Men,124.0
